Source,Target,Weight
airbnb,blm,47
footage,blm,46
trash,blm,46
rich,blm,46
terrorism,blm,46
narrative,blm,46
supportblackbusiness,blm,46
clinton,blm,46
armed,blm,46
ban,blm,46
voters,blm,46
humans,blm,46
border,blm,46
youth,blm,46
bio,blm,46
giving,blm,46
minded,blm,46
blackstrength,blm,46
pd,blm,46
lying,blm,46
yeah,blm,46
thoughts,blm,46
lead,blm,46
pain,blm,46
trauma,blm,46
mental,blm,45
tells,blm,45
higher,blm,45
mondaymotivation,blm,45
fine,blm,45
difference,blm,45
era,blm,45
webshareztv,blm,45
protesting,blm,45
votethemout2018,blm,45
des,blm,45
netflix,blm,45
small,blm,45
suspended,blm,45
latino,blm,45
known,blm,45
towards,blm,45
price,blm,45
philadelphia,blm,45
dog,blm,45
opportunity,blm,45
jus,blm,45
ericgarner,blm,45
g,blm,44
podcast,blm,44
es,blm,44
bail,blm,44
•,blm,44
redwaverising,blm,44
criminals,blm,44
summer,blm,44
needtoimpeach,blm,44
legal,blm,44
unless,blm,44
gives,blm,44
womansmarch,blm,44
jeff,blm,44
rapper,blm,44
interview,blm,44
century,blm,44
donate,blm,44
jobs,blm,44
kelly,blm,44
positive,blm,44
sayhisname,blm,44
slave,blm,44
wakandaforever,blm,44
stopblackdeathsincustody,blm,44
cultural,blm,44
straight,blm,44
blackkklansman,blm,44
tshirt,blm,43
supposed,blm,43
type,blm,43
released,blm,43
target,blm,43
late,blm,43
committee,blm,43
manchurian,blm,43
hypocrisy,blm,43
holding,blm,43
nice,blm,43
couple,blm,43
negro,blm,43
goptaxscam,blm,43
supporters,blm,43
blackhistorymonth,blm,43
celebrate,blm,43
cancer,blm,43
fakenews,blm,43
shut,blm,43
trust,blm,43
data,blm,43
optrump,blm,43
attorney,blm,43
seem,blm,43
sarahbraasch,blm,43
coffee,blm,43
eye,blm,43
endgunviolence,blm,43
legacy,blm,43
celebrity,blm,43
beating,blm,43
tax,blm,43
strong,blm,43
gunreformnow,blm,43
doj,blm,42
followers,blm,42
language,blm,42
break,blm,42
lawyers,blm,42
ruled,blm,42
apparently,blm,42
kaepernick,blm,42
building,blm,42
ignore,blm,42
crazy,blm,42
laurel,blm,42
sarah,blm,42
george,blm,42
udd14,blm,42
anywhere,blm,42
network,blm,42
p,blm,42
destroy,blm,42
ignorance,blm,42
surprised,blm,42
uk,blm,42
meeting,blm,42
allpowertothepeople,blm,42
campus,blm,42
proof,blm,42
unacceptable,blm,42
’s,blm,42
plan,blm,42
naked,blm,42
showed,blm,42
favor,blm,42
nobody,blm,42
nc,blm,42
